SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,MIN,FGA,FTA,TOV,AST_PCT,TEAM_NAME,GP_TEAM,FGA_TEAM,FTA_TEAM,TOV_TEAM,PLAYER_POSSESSIONS,TEAM_POSSESSIONS,USG_PCT,SELF_CREATION_INDEX,AST_TO_USG_RATIO,SHOT_CREATION_LOAD,SELFISHNESS_SCORE,KOBE_QUOTIENT,TEAM_RANK,LEAGUE_RANK
2023-24,1631243,Mouhamed Gueye,1610612737,ATL,6,72.8,23,6,1,0.091,Atlanta Hawks,82,7584,1906,1110.0,26.64,9532.64,0.002794608838684772,0.0027920657446415687,0.3256269669669669,0.8633633633633634,57.342651620814664,0.0027920657446415687,13,346
2023-24,201145,Jeff Green,1610612745,HOU,78,1307.3383333333334,366,149,46,0.079,Houston Rockets,82,7459,1916,1045.0,477.56,9347.04,0.051092110443520085,0.05105174767626971,0.015462269871848565,0.7663958455482034,57.34000132870488,0.05105174767626971,12,347
2023-24,1630165,Killian Hayes,1610612765,DET,42,1007.6583333333333,283,50,51,0.268,Detroit Pistons,82,7236,1780,1248.0,356.0,9267.2,0.03841505524861878,0.03831210290055248,0.06976431460674158,0.7949438202247191,57.328278614439135,0.03831210290055248,17,348
2023-24,203937,Kyle Anderson,1610612750,MIN,79,1781.8816666666667,433,137,91,0.264,Minnesota Timberwolves,82,6974,1881,1162.0,584.28,8963.64,0.06518334069641352,0.06501125667697498,0.040501146025878,0.7410830423769426,57.323394475395396,0.06501125667697498,12,349
2023-24,1630592,Jalen Wilson,1610612751,BKN,43,664.5366666666666,179,46,19,0.095,Brooklyn Nets,82,7307,1711,1076.0,218.24,9135.84,0.02388833429657262,0.023865640378990877,0.03976836510263929,0.8201979472140762,57.32149231614443,0.023865640378990877,11,350
2023-24,200768,Kyle Lowry,1610612755,PHI,60,1689.7666666666667,377,75,85,0.212,Philadelphia 76ers,82,7331,1934,984.0,495.0,9165.96,0.0540041632300381,0.053889674403990416,0.03925623272727272,0.7616161616161616,57.307689761524756,0.053889674403990416,12,351
2023-24,203488,Mike Muscala,1610612760,OKC,53,600.18,156,25,22,0.082,Oklahoma City Thunder,82,7324,1759,1039.0,189.0,9136.96,0.02068521696494239,0.020668255087031136,0.03964183703703703,0.8253968253968254,57.3025451865342,0.020668255087031136,14,352
2023-24,1641716,Jarace Walker,1610612754,IND,33,340.42333333333335,110,9,17,0.138,Indiana Pacers,82,7599,1685,1059.0,130.95999999999998,9399.4,0.013932804221546054,0.01391357695172032,0.09904682345754431,0.8399511301160661,57.30113477118317,0.01391357695172032,13,353
2023-24,1641754,Seth Lundy,1610612737,ATL,9,51.983333333333334,17,4,1,0.0,Atlanta Hawks,82,7584,1906,1110.0,19.76,9532.64,0.0020728780274929088,0.0020728780274929088,0.0,0.8603238866396761,57.28939285389324,0.0020728780274929088,14,354
2023-24,1641708,Amen Thompson,1610612745,HOU,62,1388.5316666666668,446,155,90,0.165,Houston Rockets,82,7459,1916,1045.0,604.2,9347.04,0.06464078467621835,0.06453412738150259,0.02552568023833168,0.7381661701423369,57.28295478989547,0.06453412738150259,13,355
